Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy,Period End,Property Type,Region
0.975986156,0.70%,1.30%,4420,16.20%,4.90%,27184,18.20%,-16.20%,88,-30,-25,$315K,8.60%,10.50%,9993,40.00%,15.30%,4/30/2013,All Residential,"Boston, MA metro area"
0.965940079,0.60%,2.00%,9429,26.70%,39.10%,49873,5.30%,-16.70%,91,-12,-35,$160K,10.30%,3.20%,15918,18.50%,15.90%,4/30/2013,All Residential,"Chicago, IL metro area"
,,,7993,8.10%,28.40%,22517,3.50%,-19.20%,37,-6,-15,$180K,2.90%,10.70%,10934,12.00%,15.50%,4/30/2013,All Residential,"Dallas-Fort Worth, TX metro area"
0.974335055,0.50%,0.90%,6504,11.90%,26.20%,19522,0.50%,-23.70%,38,-9,-18,$186K,6.60%,14.30%,9193,9.10%,7.30%,4/30/2013,All Residential,"Houston, TX metro area"
1.005351809,0.40%,2.40%,6884,2.10%,3.30%,10226,8.30%,-52.10%,16,-3,-37,$400K,3.10%,27.00%,8537,13.30%,6.90%,4/30/2013,All Residential,"Los Angeles, CA metro area"
0.968920877,0.60%,1.60%,3133,12.80%,21.10%,,,,,,,$190K,5.00%,17.30%,,,,4/30/2013,All Residential,"Miami, FL metro area"
0.977391996,0.30%,1.00%,3167,-1.00%,7.30%,15752,0.80%,-14.30%,91,-13,-14,$145K,2.50%,26.10%,4141,11.10%,9.60%,4/30/2013,All Residential,"Orlando, FL metro area"
0.951743889,0.40%,1.00%,3392,31.10%,33.00%,19794,7.70%,-13.30%,73,-13,-19,$208K,0.50%,4.70%,6944,12.80%,22.40%,4/30/2013,All Residential,"Philadelphia, PA metro area"
1.057081257,0.90%,5.00%,1465,8.90%,-0.30%,2073,16.10%,-26.00%,13,-1,-8,$845K,1.70%,22.10%,2022,16.80%,15.70%,4/30/2013,All Residential,"San Francisco, CA metro area"
1.0591365,0.40%,5.30%,1522,13.80%,-9.10%,1584,20.00%,-27.80%,10,0,-7,$707K,8.80%,34.70%,1950,14.80%,13.20%,4/30/2013,All Residential,"San Jose, CA metro area"
1.004789622,0.50%,2.10%,3813,13.20%,19.10%,6558,6.90%,-31.60%,15,-8,-34,$329K,1.20%,13.50%,4917,10.60%,14.50%,4/30/2013,All Residential,"Seattle, WA metro area"
0.991189627,0.40%,1.00%,6352,16.70%,13.90%,14432,11.00%,-23.70%,18,-10,-17,$355K,4.10%,10.20%,10683,22.70%,18.10%,4/30/2013,All Residential,"Washington, DC metro area"
0.949395369,0.00%,1.10%,3106,5.80%,15.00%,13238,-1.40%,-12.80%,78,1,-13,$160K,6.70%,18.50%,3619,13.30%,15.80%,4/30/2013,All Residential,"West Palm Beach, FL metro area"
0.952520723,-0.20%,-0.30%,2821,-32.70%,3.30%,24546,1.70%,-1.80%,132,5,4,$269K,-3.60%,-1.10%,4936,78.80%,13.70%,1/31/2012,All Residential,"Boston, MA metro area"
